Rank	Country	Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
63	CA	Jordan Kyrou	STL	25	F	82	31	36	67	22	-12	18:19	15:23	2:56	0:00	23	8	0	4	0	23	13	0	5	1	46	21	0	9	1	31.3%	1.237	1.437	2.674	1.093	1.093	2.187	1.992	3.237	5.229	0.378	0.439	0.817	251	12.4%	26	32	3	6	33.33%
64	CA	Brad Marchand	BOS	35	F	82	29	38	67	78	2	19:06	14:00	3:18	1:46	19	7	3	6	2	18	19	1	6	1	37	26	4	12	3	38.8%	1.111	1.456	2.566	0.992	0.940	1.932	1.548	4.201	5.749	0.354	0.463	0.817	207	14.0%	115	35	24	31	43.64%
65	CA	Nico Hischier	NJD	24	F	71	27	40	67	12	-5	19:28	14:40	3:25	1:22	20	6	1	4	0	29	11	0	6	1	49	17	1	10	1	25.4%	1.171	1.735	2.906	1.152	1.670	2.821	1.477	2.708	4.185	0.380	0.563	0.944	182	14.8%	44	42	785	602	56.60%
66	CA	Evgeni Malkin	PIT	37	F	82	27	40	67	70	5	18:35	15:08	3:25	0:01	21	6	0	2	0	28	12	0	6	2	49	18	0	8	2	26.9%	1.063	1.575	2.638	1.015	1.353	2.368	1.284	2.568	3.853	0.329	0.488	0.817	199	13.6%	29	42	389	412	48.56%
67	CA	Joe Pavelski	DAL	39	F	82	27	40	67	20	12	16:48	14:05	2:39	0:03	16	11	0	4	1	30	10	0	7	1	46	21	0	11	2	31.3%	1.175	1.741	2.916	0.831	1.557	2.388	3.022	2.747	5.769	0.329	0.488	0.817	194	13.9%	75	70	355	340	51.08%
68	CA	Dylan Strome	WSH	26	F	82	27	40	67	22	-13	17:57	14:58	2:57	0:01	21	6	0	5	3	24	16	0	7	1	45	22	0	12	4	32.8%	1.101	1.631	2.731	1.026	1.173	2.199	1.485	3.961	5.446	0.329	0.488	0.817	169	16.0%	12	61	697	623	52.80%
69	CA	Alex DeBrincat	DET	26	F	82	27	40	67	34	1	17:53	14:57	2:53	0:01	16	11	0	1	0	32	8	0	8	4	48	19	0	9	4	28.4%	1.104	1.636	2.740	0.782	1.565	2.347	2.776	2.019	4.795	0.329	0.488	0.817	237	11.4%	66	35	16	22	42.11%
70	CA	Ryan Nugent-Hopkins	EDM	30	F	80	18	49	67	36	10	19:37	14:28	3:20	1:47	14	4	0	3	0	24	22	3	10	2	38	26	3	13	2	38.8%	0.688	1.873	2.561	0.725	1.243	1.968	0.897	4.933	5.830	0.225	0.613	0.838	183	9.8%	62	33	236	256	47.97%
71	CA	Drake Batherson	OTT	25	F	82	28	38	66	42	-9	18:10	15:05	3:03	0:01	21	7	0	4	1	23	15	0	8	2	44	22	0	12	3	33.3%	1.127	1.530	2.657	1.018	1.115	2.132	1.679	3.597	5.275	0.341	0.463	0.805	196	14.3%	98	33	38	55	40.86%
72	CA	Wyatt Johnston	DAL	20	F	82	32	33	65	38	14	17:00	13:50	1:45	1:23	26	3	3	3	0	26	7	0	7	2	52	10	3	10	2	15.4%	1.377	1.420	2.797	1.374	1.374	2.748	1.245	2.905	4.150	0.390	0.402	0.793	216	14.8%	52	42	318	316	50.16%
73	CA	Alexander Ovechkin	WSH	38	F	79	31	34	65	20	-22	19:13	14:39	4:33	0:00	18	13	0	5	1	19	15	0	5	1	37	28	0	10	2	43.1%	1.225	1.343	2.568	0.932	0.984	1.916	2.169	2.503	4.671	0.392	0.430	0.823	272	11.4%	163	27	0	2	0.00%
74	CA	Roope Hintz	DAL	27	F	80	30	35	65	22	26	17:14	13:30	2:34	1:08	19	8	3	6	2	23	11	1	3	0	42	19	4	9	2	29.2%	1.305	1.523	2.828	1.054	1.276	2.331	2.329	3.202	5.531	0.375	0.438	0.813	182	16.5%	36	38	318	248	56.18%
75	CA	John Tavares	TOR	33	F	80	29	36	65	30	2	17:51	14:46	3:04	0:00	20	9	0	6	1	25	11	0	2	0	45	20	0	8	1	30.8%	1.217	1.511	2.729	1.015	1.269	2.284	2.195	2.683	4.878	0.363	0.450	0.813	279	10.4%	134	37	802	551	59.28%
76	CA	Cole Caufield	MTL	22	F	82	28	37	65	16	-4	19:25	15:49	3:35	0:00	19	9	0	7	3	25	12	0	4	2	44	21	0	11	5	32.3%	1.055	1.394	2.449	0.878	1.156	2.034	1.834	2.446	4.280	0.341	0.451	0.793	314	8.9%	56	22	7	9	43.75%
77	CA	Matt Duchene	DAL	32	F	80	25	40	65	20	15	16:45	14:31	2:04	0:10	19	6	0	7	2	30	10	0	8	2	49	16	0	15	4	24.6%	1.118	1.789	2.908	0.981	1.549	2.530	2.175	3.625	5.800	0.313	0.500	0.813	172	14.5%	31	48	360	277	56.51%
78	CA	Joel Eriksson Ek	MIN	26	F	77	30	34	64	60	18	20:31	14:13	3:53	2:24	17	12	1	5	0	25	9	0	5	1	42	21	1	10	1	32.8%	1.139	1.291	2.429	0.931	1.369	2.300	2.406	1.805	4.211	0.390	0.442	0.831	267	11.2%	169	55	796	806	49.69%
79	CA	Claude Giroux	OTT	35	F	82	21	43	64	26	-14	20:05	15:12	2:58	1:54	16	3	2	2	1	26	16	1	1	0	42	19	3	3	1	29.7%	0.765	1.566	2.331	0.770	1.251	2.021	0.738	3.934	4.671	0.256	0.524	0.780	183	11.5%	40	30	668	484	57.99%
80	CA	Pavel Buchnevich	STL	28	F	80	27	36	63	48	3	19:49	14:58	3:09	1:42	17	8	2	5	2	25	10	1	7	1	42	18	3	12	3	28.6%	1.021	1.362	2.383	0.852	1.253	2.104	1.903	2.379	4.282	0.338	0.450	0.788	207	13.0%	43	28	77	129	37.38%
81	CA	Mats Zuccarello	MIN	36	F	69	12	51	63	30	-5	18:53	14:49	4:01	0:01	7	5	0	1	0	23	28	0	6	1	30	33	0	7	1	52.4%	0.552	2.347	2.900	0.410	1.348	1.759	1.079	6.042	7.121	0.174	0.739	0.913	173	6.9%	26	50	27	45	37.50%
82	CA	Jared McCann	SEA	27	F	80	29	33	62	31	-10	16:45	12:42	2:34	1:28	18	9	2	3	1	19	14	0	4	1	37	23	2	7	2	37.1%	1.298	1.477	2.774	1.062	1.121	2.183	2.624	4.082	6.706	0.363	0.413	0.775	216	13.4%	45	27	147	160	47.88%
83	CA	Michael Matheson	MTL	29	D	82	11	51	62	58	-24	25:33	18:54	3:40	2:58	4	5	2	0	0	28	23	0	4	3	32	28	2	4	3	45.2%	0.315	1.460	1.775	0.155	1.084	1.239	0.995	4.576	5.571	0.134	0.622	0.756	187	5.9%	61	186	0	0	0.00%
84	CA	Kyle Connor	WPG	27	F	65	34	27	61	6	-6	19:43	16:14	3:20	0:08	29	5	0	10	3	13	14	0	5	1	42	19	0	15	4	31.1%	1.591	1.264	2.855	1.648	0.739	2.387	1.384	3.875	5.259	0.523	0.415	0.938	221	15.4%	14	19	2	5	28.57%
85	CA	Nikolaj Ehlers	WPG	27	F	82	25	36	61	29	27	15:52	13:39	2:12	0:00	25	0	0	7	1	29	7	0	8	0	54	7	0	15	1	11.5%	1.152	1.659	2.812	1.339	1.553	2.892	0.000	2.324	2.324	0.305	0.439	0.744	233	10.7%	30	39	4	11	26.67%
86	CA	Connor Bedard	CHI	18	F	68	22	39	61	28	-44	19:47	16:24	3:22	0:00	18	4	0	2	1	22	17	0	4	1	40	21	0	6	2	34.4%	0.981	1.739	2.721	0.968	1.183	2.151	1.048	4.453	5.501	0.324	0.574	0.897	206	10.7%	54	27	207	325	38.91%
87	CA	Nick Schmaltz	ARI	27	F	79	22	39	61	10	-16	19:10	15:34	3:13	0:23	11	10	1	3	1	28	11	0	7	0	39	21	1	10	1	34.4%	0.871	1.545	2.416	0.536	1.365	1.902	2.360	2.596	4.956	0.278	0.494	0.772	158	13.9%	16	41	164	236	41.00%
88	CA	Frank Vatrano	ANA	29	F	82	37	23	60	85	-20	18:20	13:55	2:26	1:58	21	13	3	7	2	15	7	1	2	1	36	20	4	9	3	33.3%	1.476	0.917	2.393	1.104	0.788	1.892	3.890	2.095	5.985	0.451	0.280	0.732	272	13.6%	156	78	9	18	33.33%
89	CA	William Karlsson	VGK	30	F	70	30	30	60	22	15	17:36	13:08	2:34	1:53	22	7	1	2	0	21	8	1	4	2	43	15	2	6	2	25.0%	1.461	1.461	2.922	1.435	1.370	2.804	2.334	2.667	5.000	0.429	0.429	0.857	175	17.1%	43	46	547	426	56.22%
90	CA	Charlie Coyle	BOS	31	F	82	25	35	60	38	-2	18:03	13:46	1:49	2:27	17	7	1	5	0	27	4	4	4	1	44	11	5	9	1	18.3%	1.013	1.418	2.430	0.903	1.434	2.336	2.806	1.604	4.410	0.305	0.427	0.732	146	17.1%	131	60	762	715	51.59%
91	CA	Jamie Benn	DAL	34	F	82	21	39	60	41	8	15:07	11:48	2:19	0:59	13	7	1	3	0	22	15	2	4	1	35	22	3	7	1	36.7%	1.016	1.887	2.904	0.805	1.362	2.168	2.207	4.729	6.936	0.256	0.476	0.732	164	12.8%	110	50	436	276	61.24%
92	CA	Mikael Granlund	SJS	31	F	69	12	48	60	32	-23	20:57	15:49	2:58	2:09	11	1	0	1	1	25	22	1	6	1	36	23	1	7	2	38.3%	0.498	1.991	2.489	0.604	1.374	1.978	0.293	6.442	6.735	0.174	0.696	0.870	134	9.0%	62	55	493	560	46.82%
93	CA	Johnny Gaudreau	CBJ	30	F	81	12	48	60	22	-27	18:48	15:53	2:55	0:00	11	1	0	3	1	31	17	0	6	1	42	18	0	9	2	30.0%	0.472	1.890	2.362	0.513	1.446	1.959	0.253	4.302	4.555	0.148	0.593	0.741	160	7.5%	2	23	0	1	0.00%
94	CA	Yegor Sharangovich	CGY	25	F	82	31	28	59	8	-29	17:18	13:27	2:20	1:30	22	6	3	4	1	13	11	4	5	0	35	17	7	9	1	28.8%	1.310	1.183	2.493	1.196	0.707	1.903	1.869	3.427	5.296	0.378	0.341	0.720	179	17.3%	13	44	133	208	39.00%
95	CA	Sean Monahan	WPG	29	F	83	26	33	59	12	-1	18:05	13:32	3:16	1:17	15	9	2	5	0	21	12	0	4	0	36	21	2	9	0	35.6%	1.039	1.318	2.357	0.801	1.121	1.922	1.990	2.654	4.644	0.313	0.398	0.711	171	15.2%	29	44	698	574	54.87%
96	CA	Alex Tuch	BUF	27	F	75	22	37	59	54	9	19:30	15:14	2:38	1:37	19	2	1	7	0	28	9	0	8	1	47	11	1	15	1	18.6%	0.902	1.518	2.420	0.997	1.469	2.466	0.606	2.728	3.334	0.293	0.493	0.787	192	11.5%	72	82	42	63	40.00%
97	CA	Pavel Zacha	BOS	26	F	78	21	38	59	18	12	18:06	13:38	2:49	1:38	15	6	0	6	1	29	9	0	5	1	44	15	0	11	2	25.4%	0.892	1.614	2.507	0.846	1.635	2.481	1.635	2.453	4.088	0.269	0.487	0.756	148	14.2%	106	34	585	483	54.78%
98	CA	Rasmus Dahlin	BUF	23	D	81	20	39	59	66	-3	25:25	21:13	3:01	1:11	14	6	0	2	1	25	14	0	5	1	39	20	0	7	2	33.9%	0.583	1.136	1.719	0.489	0.873	1.361	1.472	3.434	4.906	0.247	0.481	0.728	235	8.5%	195	154	0	0	0.00%
99	CA	Oliver Bjorkstrand	SEA	28	F	82	20	39	59	12	-20	16:10	13:49	2:21	0:00	12	8	0	3	0	22	17	0	4	2	34	25	0	7	2	42.4%	0.904	1.763	2.668	0.635	1.165	1.800	2.477	5.265	7.742	0.244	0.476	0.720	186	10.8%	67	29	9	19	32.14%
100	CA	Morgan Rielly	TOR	29	D	72	7	51	58	27	7	23:44	20:28	2:38	0:36	6	1	0	0	0	32	19	0	10	5	38	20	0	10	5	34.5%	0.246	1.790	2.036	0.244	1.302	1.546	0.315	5.982	6.296	0.097	0.708	0.806	173	4.1%	98	137	0	0	0.00%
