Rk		Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
289	US	Justin Faulk	TOT	33	D	19	5	3	8	12	-5	20:39	18:13	1:08	1:17	5	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0.0%	0.764	0.458	1.223	0.866	0.520	1.386	0.000	0.000	0.000	0.263	0.158	0.421	34	14.7%	24	32	0	0	0.00%
290	CA	Ryan Nugent-Hopkins	EDM	32	F	19	5	3	8	2	-4	18:44	14:22	3:24	0:58	2	3	0	0	0	2	1	0	0	0	4	4	0	0	0	50.0%	0.842	0.505	1.348	0.440	0.440	0.879	2.786	0.929	3.714	0.263	0.158	0.421	38	13.2%	8	10	65	70	48.15%
291	CA	Nick Lardis	CHI	20	F	20	5	3	8	4	-10	12:41	11:28	1:12	0:00	5	0	0	0	0	3	0	0	2	1	8	0	0	2	1	0.0%	1.182	0.709	1.891	1.306	0.784	2.090	0.000	0.000	0.000	0.250	0.150	0.400	25	20.0%	24	5	0	0	0.00%
292	CA	Scott Laughton	TOT	31	F	21	5	3	8	14	-2	15:41	13:10	0:57	1:33	4	1	0	1	0	2	1	0	1	0	6	2	0	2	0	25.0%	0.911	0.546	1.457	0.868	0.434	1.302	2.963	2.963	5.926	0.238	0.143	0.381	42	11.9%	44	13	167	111	60.07%
293	FI	Erik Haula	NSH	34	F	22	5	3	8	26	1	16:57	13:21	1:34	2:01	2	2	1	1	0	3	0	0	0	0	5	2	1	1	0	25.0%	0.804	0.483	1.287	0.408	0.613	1.021	3.465	0.000	3.465	0.227	0.136	0.364	35	14.3%	41	16	148	179	45.26%
294	CA	Tyson Jost	NSH	27	F	22	5	3	8	10	-4	14:42	12:20	0:01	2:20	4	0	1	0	0	2	0	1	1	0	6	0	2	1	0	0.0%	0.927	0.556	1.484	0.884	0.442	1.326	0.000	0.000	0.000	0.227	0.136	0.364	44	11.4%	17	15	13	25	34.21%
295	DE	John Peterka	UTA	23	F	22	5	3	8	4	-3	14:24	13:12	1:11	0:00	4	1	0	2	0	2	1	0	0	0	6	2	0	2	0	25.0%	0.947	0.568	1.514	0.826	0.413	1.239	2.276	2.276	4.551	0.227	0.136	0.364	43	11.6%	3	3	1	0	100.00%
296	CA	Ryan Greene	CHI	22	F	23	5	3	8	4	-7	17:26	14:34	1:19	1:33	4	0	1	1	0	3	0	0	0	0	7	0	1	1	0	0.0%	0.748	0.449	1.196	0.716	0.537	1.253	0.000	0.000	0.000	0.217	0.130	0.348	34	14.7%	18	11	53	107	33.13%
297	RU	Arseni Gritsyuk	NJD	24	F	10	4	4	8	4	5	15:30	14:30	0:59	0:00	4	0	0	0	0	3	1	0	0	0	7	1	0	0	0	12.5%	1.548	1.548	3.096	1.654	1.241	2.895	0.000	6.030	6.030	0.400	0.400	0.800	26	15.4%	8	0	0	1	0.00%
298	CA	Jared McCann	SEA	29	F	17	4	4	8	2	-10	15:56	13:13	2:42	0:00	3	1	0	0	0	4	0	0	0	0	7	1	0	0	0	12.5%	0.885	0.885	1.771	0.800	1.067	1.868	1.305	0.000	1.305	0.235	0.235	0.471	34	11.8%	16	5	4	2	66.67%
299	US	Dakota Joshua	TOR	29	F	17	4	4	8	24	0	12:10	11:20	0:47	0:03	4	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0.0%	1.159	1.159	2.318	1.245	1.245	2.489	0.000	0.000	0.000	0.235	0.235	0.471	19	21.1%	62	6	4	7	36.36%
300	SE	Mikael Backlund	CGY	36	F	23	4	4	8	4	-8	18:36	14:31	1:12	2:53	4	0	0	1	0	3	0	1	0	0	7	0	1	1	0	0.0%	0.561	0.561	1.121	0.718	0.539	1.257	0.000	0.000	0.000	0.174	0.174	0.348	44	9.1%	3	8	190	191	49.87%
