Rk		Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
160	CA	Christopher Tanev	TOR	35	D	13	1	2	3	2	2	19:32	16:56	0:04	2:31	1	0	0	0	0	2	0	0	1	0	3	0	0	1	0	0.0%	0.236	0.472	0.709	0.273	0.545	0.818	0.000	0.000	0.000	0.077	0.154	0.231	3	33.3%	7	38	0	0	0.00%
161	US	Eric Robinson	CAR	29	F	15	1	2	3	2	-3	11:25	10:36	0:10	0:39	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0.0%	0.350	0.700	1.050	0.377	0.755	1.132	0.000	0.000	0.000	0.067	0.133	0.200	23	4.4%	60	4	1	5	16.67%
162	CA	Jamie Benn	DAL	35	F	18	1	2	3	26	-11	13:05	11:56	0:54	0:14	0	1	0	0	0	1	1	0	0	0	1	2	0	0	0	66.7%	0.255	0.509	0.764	0.000	0.279	0.279	3.655	3.655	7.310	0.056	0.111	0.167	25	4.0%	66	14	41	49	45.56%
163	SE	Victor Hedman	TBL	34	D	5	0	3	3	0	-6	24:31	17:44	4:41	2:05	0	0	0	0	0	1	2	0	0	0	1	2	0	0	0	66.7%	0.000	1.468	1.468	0.000	0.676	0.676	0.000	5.121	5.121	0.000	0.600	0.600	10	0.0%	3	6	0	0	0.00%
164	US	Ryan McDonagh	TBL	35	D	5	0	3	3	0	2	19:08	14:47	0:34	3:46	0	0	0	0	0	3	0	0	1	0	3	0	0	1	0	0.0%	0.000	1.882	1.882	0.000	2.434	2.434	0.000	0.000	0.000	0.000	0.600	0.600	8	0.0%	7	5	0	0	0.00%
165	US	Brett Pesce	NJD	30	D	5	0	3	3	2	4	26:43	21:48	0:14	4:40	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0.0%	0.000	1.347	1.347	0.000	1.650	1.650	0.000	0.000	0.000	0.000	0.600	0.600	8	0.0%	2	18	0	0	0.00%
166	SE	Joel Eriksson Ek	MIN	27	F	6	0	3	3	4	0	21:59	16:48	2:43	2:28	0	0	0	0	0	2	1	0	0	0	2	1	0	0	0	33.3%	0.000	1.364	1.364	0.000	1.190	1.190	0.000	3.673	3.673	0.000	0.500	0.500	19	0.0%	8	10	82	71	53.59%
167	US	Alex Laferriere	LAK	23	F	6	0	3	3	2	1	18:15	17:57	0:17	0:00	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0.0%	0.000	1.644	1.644	0.000	1.671	1.671	0.000	0.000	0.000	0.000	0.500	0.500	10	0.0%	20	4	1	6	14.29%
168	CA	Jonathan Drouin	COL	29	F	7	0	3	3	0	-6	14:36	12:10	2:26	0:00	0	0	0	0	0	0	3	0	1	0	0	3	0	1	0	100.0%	0.000	1.760	1.760	0.000	0.000	0.000	0.000	10.568	10.568	0.000	0.429	0.429	9	0.0%	5	4	4	3	57.14%
169	US	Ryan Lindgren	COL	26	D	7	0	3	3	8	5	18:37	16:47	0:00	1:49	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0.0%	0.000	1.381	1.381	0.000	1.532	1.532	0.000	0.000	0.000	0.000	0.429	0.429	8	0.0%	13	12	0	0	0.00%
170	CA	Pierre-Luc Dubois	WSH	26	F	10	0	3	3	12	3	17:03	15:33	1:27	0:01	0	0	0	0	0	3	0	0	1	0	3	0	0	1	0	0.0%	0.000	1.056	1.056	0.000	1.157	1.157	0.000	0.000	0.000	0.000	0.300	0.300	13	0.0%	22	7	79	66	54.48%
171	US	Dylan Samberg	WPG	25	D	13	0	3	3	2	1	24:03	20:44	0:11	3:07	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0.0%	0.000	0.575	0.575	0.000	0.668	0.668	0.000	0.000	0.000	0.000	0.231	0.231	15	0.0%	13	16	0	0	0.00%
172	CA	Bobby McMann	TOR	28	F	13	0	3	3	16	-2	12:35	11:36	0:59	0:00	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0.0%	0.000	1.099	1.099	0.000	1.194	1.194	0.000	0.000	0.000	0.000	0.231	0.231	18	0.0%	49	4	1	1	50.00%
173	RU	Ilya Lyubushkin	DAL	30	D	14	0	3	3	4	-7	17:03	15:27	0:00	1:35	0	0	0	0	0	3	0	0	1	0	3	0	0	1	0	0.0%	0.000	0.754	0.754	0.000	0.832	0.832	0.000	0.000	0.000	0.000	0.214	0.214	12	0.0%	18	15	0	0	0.00%
174	CZ	Tomas Nosek	FLA	32	F	16	0	3	3	4	4	11:10	8:48	0:13	2:07	0	0	0	0	0	3	0	0	1	0	3	0	0	1	0	0.0%	0.000	1.007	1.007	0.000	1.276	1.276	0.000	0.000	0.000	0.000	0.188	0.188	14	0.0%	44	9	63	70	47.37%
