Name                  	Team 	Pos 	G  	A   	P   	TeamModifier 	Modifier
Vladimir Tarasenko    	FLA  	F   	23 	 32 	 55 	      1.2210 	      67
Brent Burns           	CAR  	D   	10 	 33 	 43 	      1.5550 	      67
Jonathan Marchessault 	VGK  	F   	42 	 27 	 69 	      0.9420 	      65
Roman Josi            	NSH  	D   	23 	 62 	 85 	      0.7510 	      64
Jack Eichel           	VGK  	F   	31 	 37 	 68 	      0.9420 	      64
Jamie Benn            	DAL  	F   	21 	 39 	 60 	      1.0670 	      64
Morgan Rielly         	TOR  	D   	 7 	 51 	 58 	      1.1020 	      64
Brayden Point         	TBL  	F   	46 	 44 	 90 	      0.6910 	      62
Casey Mittelstadt     	COL  	F   	18 	 39 	 57 	      1.0450 	      60
Mattias Ekholm        	EDM  	D   	11 	 34 	 45 	      1.3300 	      60
Jonathan Drouin       	COL  	F   	19 	 37 	 56 	      1.0450 	      59
Evander Kane          	EDM  	F   	24 	 20 	 44 	      1.3300 	      59
Miro Heiskanen        	DAL  	D   	 9 	 45 	 54 	      1.0670 	      58
Filip Hronek          	VAN  	D   	 5 	 43 	 48 	      1.2170 	      58
Stefan Noesen         	CAR  	F   	14 	 23 	 37 	      1.5550 	      58
Jaccob Slavin         	CAR  	D   	 6 	 31 	 37 	      1.5550 	      58
Jack Roslovic         	NYR  	F   	 9 	 22 	 31 	      1.8690 	      58
Erik Gustafsson       	NYR  	D   	 6 	 25 	 31 	      1.8690 	      58
William Karlsson      	VGK  	F   	30 	 30 	 60 	      0.9420 	      57
Mason Marchment       	DAL  	F   	22 	 31 	 53 	      1.0670 	      57
Conor Garland         	VAN  	F   	20 	 27 	 47 	      1.2170 	      57
Steven Stamkos        	TBL  	F   	40 	 41 	 81 	      0.6910 	      56
Gustav Nyquist        	NSH  	F   	23 	 52 	 75 	      0.7510 	      56
Alexander Wennberg    	NYR  	F   	10 	 20 	 30 	      1.8690 	      56
K'Andre Miller        	NYR  	D   	 8 	 22 	 30 	      1.8690 	      56
Valeri Nichushkin     	COL  	F   	28 	 25 	 53 	      1.0450 	      55
Tyler Seguin          	DAL  	F   	25 	 27 	 52 	      1.0670 	      55
Warren Foegele        	EDM  	F   	20 	 21 	 41 	      1.3300 	      55
Elias Lindholm        	VAN  	F   	15 	 29 	 44 	      1.2170 	      54
Victor Hedman         	TBL  	D   	13 	 63 	 76 	      0.6910 	      53
Brandon Hagel         	TBL  	F   	26 	 49 	 75 	      0.6910 	      52
Ryan O'Reilly         	NSH  	F   	26 	 43 	 69 	      0.7510 	      52
Devon Toews           	COL  	D   	12 	 38 	 50 	      1.0450 	      52
Max Domi              	TOR  	F   	 9 	 38 	 47 	      1.1020 	      52
Mark Scheifele        	WPG  	F   	25 	 47 	 72 	      0.7140 	      51
Brad Marchand         	BOS  	F   	29 	 38 	 67 	      0.7490 	      50
Mark Stone            	VGK  	F   	16 	 37 	 53 	      0.9420 	      50
Thomas Harley         	DAL  	D   	15 	 32 	 47 	      1.0670 	      50
Sam Bennett           	FLA  	F   	20 	 21 	 41 	      1.2210 	      50
Jordan Martinook      	CAR  	F   	14 	 18 	 32 	      1.5550 	      50
Josh Morrissey        	WPG  	D   	10 	 59 	 69 	      0.7140 	      49
Jimmy Vesey           	NYR  	F   	13 	 13 	 26 	      1.8690 	      49
Chandler Stephenson   	VGK  	F   	16 	 35 	 51 	      0.9420 	      48
Evan Rodrigues        	FLA  	F   	12 	 27 	 39 	      1.2210 	      48
Gustav Forsling       	FLA  	D   	10 	 29 	 39 	      1.2210 	      48
Tyler Bertuzzi        	TOR  	F   	21 	 22 	 43 	      1.1020 	      47
Jordan Staal          	CAR  	F   	10 	 20 	 30 	      1.5550 	      47
Charlie Coyle         	BOS  	F   	25 	 35 	 60 	      0.7490 	      45
Kyle Connor           	WPG  	F   	34 	 27 	 61 	      0.7140 	      44
Nikolaj Ehlers        	WPG  	F   	25 	 36 	 61 	      0.7140 	      44
Pavel Zacha           	BOS  	F   	21 	 38 	 59 	      0.7490 	      44
Noah Hanifin          	VGK  	D   	13 	 34 	 47 	      0.9420 	      44
Nils Höglander        	VAN  	F   	24 	 12 	 36 	      1.2170 	      44
Anton Lundell         	FLA  	F   	13 	 22 	 35 	      1.2210 	      43
Darnell Nurse         	EDM  	D   	10 	 22 	 32 	      1.3300 	      43
Sean Monahan          	WPG  	F   	26 	 33 	 59 	      0.7140 	      42
Ivan Barbashev        	VGK  	F   	19 	 26 	 45 	      0.9420 	      42
Ross Colton           	COL  	F   	17 	 23 	 40 	      1.0450 	      42
Jesperi Kotkaniemi    	CAR  	F   	12 	 15 	 27 	      1.5550 	      42
Jack Drury            	CAR  	F   	 8 	 19 	 27 	      1.5550 	      42
Anthony Mantha        	VGK  	F   	23 	 21 	 44 	      0.9420 	      41
Jacob Trouba          	NYR  	D   	 3 	 19 	 22 	      1.8690 	      41
Shea Theodore         	VGK  	D   	 5 	 37 	 42 	      0.9420 	      40
Brandon Montour       	FLA  	D   	 8 	 25 	 33 	      1.2210 	      40
Ryan McLeod           	EDM  	F   	12 	 18 	 30 	      1.3300 	      40
Dmitry Orlov          	CAR  	D   	 6 	 20 	 26 	      1.5550 	      40
Tyler Toffoli         	WPG  	F   	33 	 22 	 55 	      0.7140 	      39
Nicolas Roy           	VGK  	F   	13 	 28 	 41 	      0.9420 	      39
Matthew Knies         	TOR  	F   	15 	 20 	 35 	      1.1020 	      39
Dakota Joshua         	VAN  	F   	18 	 14 	 32 	      1.2170 	      39
Oliver Ekman-Larsson  	FLA  	D   	 9 	 23 	 32 	      1.2210 	      39
Will Cuylle           	NYR  	F   	13 	  8 	 21 	      1.8690 	      39
Blake Wheeler         	NYR  	F   	 9 	 12 	 21 	      1.8690 	      39
Ilya Mikheyev         	VAN  	F   	11 	 20 	 31 	      1.2170 	      38
Evgeny Kuznetsov      	CAR  	F   	 8 	 16 	 24 	      1.5550 	      37
Tomas Hertl           	VGK  	F   	17 	 21 	 38 	      0.9420 	      36
Artturi Lehkonen      	COL  	F   	16 	 18 	 34 	      1.0450 	      36
Charlie McAvoy        	BOS  	D   	12 	 35 	 47 	      0.7490 	      35
Pius Suter            	VAN  	F   	14 	 15 	 29 	      1.2170 	      35
Tyler Myers           	VAN  	D   	 5 	 24 	 29 	      1.2170 	      35
Thomas Novak          	NSH  	F   	18 	 27 	 45 	      0.7510 	      34
Teodors Blueger       	VAN  	F   	 6 	 22 	 28 	      1.2170 	      34
Jalen Chatfield       	CAR  	D   	 8 	 14 	 22 	      1.5550 	      34
Eetu Luostarinen      	FLA  	F   	12 	 15 	 27 	      1.2210 	      33
Cody Ceci             	EDM  	D   	 5 	 20 	 25 	      1.3300 	      33
Nick Paul             	TBL  	F   	24 	 22 	 46 	      0.6910 	      32
Anthony Cirelli       	TBL  	F   	20 	 25 	 45 	      0.6910 	      31
Alex Pietrangelo      	VGK  	D   	 4 	 29 	 33 	      0.9420 	      31
Jake McCabe           	TOR  	D   	 8 	 20 	 28 	      1.1020 	      31
Jake DeBrusk          	BOS  	F   	19 	 21 	 40 	      0.7490 	      30
Trent Frederic        	BOS  	F   	18 	 22 	 40 	      0.7490 	      30
Sean Walker           	COL  	D   	10 	 19 	 29 	      1.0450 	      30
Nick Robertson        	TOR  	F   	14 	 13 	 27 	      1.1020 	      30
Anthony Duclair       	TBL  	F   	24 	 18 	 42 	      0.6910 	      29
Morgan Geekie         	BOS  	F   	17 	 22 	 39 	      0.7490 	      29
Luke Evangelista      	NSH  	F   	16 	 23 	 39 	      0.7510 	      29
T.J. Brodie           	TOR  	D   	 1 	 25 	 26 	      1.1020 	      29
Sam Lafferty          	VAN  	F   	13 	 11 	 24 	      1.2170 	      29
Corey Perry           	EDM  	F   	12 	 10 	 22 	      1.3300 	      29
James van Riemsdyk    	BOS  	F   	11 	 27 	 38 	      0.7490 	      28
Esa Lindell           	DAL  	D   	 5 	 21 	 26 	      1.0670 	      28
Cole Perfetti         	WPG  	F   	19 	 19 	 38 	      0.7140 	      27
Danton Heinen         	BOS  	F   	17 	 19 	 36 	      0.7490 	      27
Miles Wood            	COL  	F   	 9 	 17 	 26 	      1.0450 	      27
Kyle Okposo           	FLA  	F   	12 	 10 	 22 	      1.2210 	      27
Vladislav Namestnikov 	WPG  	F   	11 	 26 	 37 	      0.7140 	      26
Gabriel Vilardi       	WPG  	F   	22 	 14 	 36 	      0.7140 	      26
Mason Appleton        	WPG  	F   	14 	 22 	 36 	      0.7140 	      26
Colton Sissons        	NSH  	F   	15 	 20 	 35 	      0.7510 	      26
Logan O'Connor        	COL  	F   	13 	 12 	 25 	      1.0450 	      26
Josh Manson           	COL  	D   	 8 	 17 	 25 	      1.0450 	      26
Bobby McMann          	TOR  	F   	15 	  9 	 24 	      1.1020 	      26
Sam Steel             	DAL  	F   	 9 	 15 	 24 	      1.0670 	      26
Adam Lowry            	WPG  	F   	12 	 23 	 35 	      0.7140 	      25
Mike Amadio           	VGK  	F   	14 	 13 	 27 	      0.9420 	      25
Evgeny Dadonov        	DAL  	F   	12 	 11 	 23 	      1.0670 	      25
Timothy Liljegren     	TOR  	D   	 3 	 20 	 23 	      1.1020 	      25
Nino Niederreiter     	WPG  	F   	18 	 16 	 34 	      0.7140 	      24
Neal Pionk            	WPG  	D   	 5 	 28 	 33 	      0.7140 	      24
Jason Zucker          	NSH  	F   	14 	 18 	 32 	      0.7510 	      24
Ryan McDonagh         	NSH  	D   	 3 	 29 	 32 	      0.7510 	      24
Brayden McNabb        	VGK  	D   	 4 	 22 	 26 	      0.9420 	      24
Paul Cotter           	VGK  	F   	 7 	 18 	 25 	      0.9420 	      24
Ryan Johansen         	COL  	F   	13 	 10 	 23 	      1.0450 	      24
Nikita Zadorov        	VAN  	D   	 6 	 14 	 20 	      1.2170 	      24
Darren Raddysh        	TBL  	D   	 6 	 27 	 33 	      0.6910 	      23
Pavel Dorofeyev       	VGK  	F   	13 	 11 	 24 	      0.9420 	      23
Calle Järnkrok        	TOR  	F   	10 	 11 	 21 	      1.1020 	      23
Dylan Demelo          	WPG  	D   	 3 	 28 	 31 	      0.7140 	      22
Craig Smith           	DAL  	F   	11 	  9 	 20 	      1.0670 	      21
Kiefer Sherwood       	NSH  	F   	10 	 17 	 27 	      0.7510 	      20
Alex Iafallo          	WPG  	F   	11 	 16 	 27 	      0.7140 	      19
Hampus Lindholm       	BOS  	D   	 3 	 23 	 26 	      0.7490 	      19
Kevin Shattenkirk     	BOS  	D   	 6 	 18 	 24 	      0.7490 	      18
Michael Eyssimont     	TBL  	F   	11 	 14 	 25 	      0.6910 	      17
Nicklaus Perbix       	TBL  	D   	 2 	 22 	 24 	      0.6910 	      17
Cole Smith            	NSH  	F   	 9 	 14 	 23 	      0.7510 	      17
Michael McCarron      	NSH  	F   	12 	 10 	 22 	      0.7510 	      17
Philip Tomasino       	NSH  	F   	 7 	 13 	 20 	      0.7510 	      15
Brenden Dillon        	WPG  	D   	 8 	 12 	 20 	      0.7140 	      14
